,ISBN,Title,Author,Authors_Number,Description,Genres,Average_Ratings,Reviews_Number,Quotes_Number,Community_Size,Pages_Number,Editions,Publication_Year,Publisher,URL,Cover_URL
50,الدار العربية للنشر والتوزيع,إنتاج البصل والثوم,تأليف أحمد عبد المنعم حسن (تأليف),"المؤلفون
1",يقع الكتاب في عشرة فصول، خصصت الفصول التسعة الأولى منها للبصل، بينما خصص الفصل الأخير للثوم. وتناولت الفصول الخاصة بالبصل تعريف بالمحصول وأهميته (الفصل الأول)، والوصف النباتي (الفصل الثاني)، والأصناف (الفصل الثالث)، والاحتياجات البيئية، وطرق التكاثر، والزراعة (الفصل الرابع)، وعمليات الخدمة الزراعية (الفصل الخامس)، والفسيولوجي (الفصلان السادس والسابع)، والحصاد، والتداول والتخزين (الفصل الثامن)، والأمراض والآفات وكافحتها (الفصل التاسع). أما الفصل العاشر فقد تناول جميع الأمور التي أسلفنا بيانها، ولكن بالنسبة لمحصول الثوم. ولقد شهدت جميع فصول الكتاب تحديث شامل لمحتوياتها، اعتمد على كل ما هو جديد وظهر في مئات المراجع التي ضمتها قائمة مصادر هذا الكتاب. وكعهدي دائماً مع القارئ العربي..فإن هذا الكتاب- كغيره من كتب هذه السلسلة- أعد ليكون مرجعاً لكل من منتجي البصل والثوم، والباحثين، والطلاب في مرحلتي البكالوريوس والدراسات العليا؛ ذلك لأني وضعت نصب عيني الجانبين العلمي والتطبيقي، مع توثيق كل ما ورد بالكتاب من معلومات بمراجعها الأصلية، وبأسلوب يفي متطلبات الباحث، ويحترم حق المنتج في تفهم الأسس التي بنيت عليها التوصيات التي وردت بالكتاب وبدائلها.,زراعة وحيوان إنتاج وحماية المحاصيل,2.7,مراجعات,اقتباسات,"القرّاء
15",372 صفحة,"طبعات
1",نشر سنة 2000,,https://www.abjjad.com/book/2213085957/%D8%A7%D9%86%D8%AA%D8%A7%D8%AC-%D8%A7%D9%84%D8%A8%D8%B5%D9%84-%D9%88%D8%A7%D9%84%D8%AB%D9%88%D9%85/2213315337/reviews,https://abjjadst.blob.core.windows.net/pub/2c0263e3-55d7-4619-8287-723201cab5f4-192X290.jpg
51,ISBN 977-408-524-8,كيف تدرب كلبك في 21 يومًا؟,تأليف كولين تيننت (تأليف),"المؤلفون
1",تعرف على كيفية تدريب كلبك على أسس الطاعة من خلال تخصيص بضع دقائق يوميًالقد تم إعداد هذه الكتاب لإرشادك إلى كيفية تدريب كلبك من خلال برنامج زمني مدته 21 يومًا. يقدم هذا البرنامج مجموعة متنوعة من التدريبات والبرامج السيكولوجية التي ستساعد في حل كثير من المشكلات التدريبية الشائعة التي تواجه مقتني الكلاب. وعلى الرغم من أن برامج وتقنيات التدريب المقدمة تتميز بالأمان التام، فعلى القارئ الانتباه إلى اختلاف الكلاب في المزاج ونوع السلالة والمرونة. ويتحتم على القارئ في أثناء اختياره لتقنيات التدريب التي يرغب في تطبيقها على كلبه أن يضع في اعتباره شخصية الكلب وحياته السابقة وصفاته الفردية. ولا يتحمل الكاتب أو الناشر أية مسئولية عن أسلوب التطبيق الشخصي للمعلومات والمقترحات المقدمة في هذا الكتاب أو المعدات المستخدمة.,زراعة وحيوان علم الحيوان,5,"مراجعات
1","اقتباسات
1","القرّاء
14",160 صفحة,"طبعات
1",نشر سنة 2009,,https://www.abjjad.com/book/2174976406/%D9%83%D9%8A%D9%81-%D8%AA%D8%AF%D8%B1%D8%A8-%D9%83%D9%84%D8%A8%D9%83-%D9%81%D9%8A-21-%D9%8A%D9%88%D9%85%D8%A7/2175173017/reviews,https://abjjadst.blob.core.windows.net/pub/8ee98dab-27a7-4735-abe0-0564b2c8e5a3-192X290.PNG
52,ISBN 9772774860,المرجع الشامل فى تربية النحل والملكات وإنتاج العسل,تأليف محمد محمد كذلك (تأليف),"المؤلفون
1",هذا الكتاب هو خلاصة احداث الدراسات والابحاث عن النحل ، وموسوعة متكاملة يستفيد منها الهاوي والمتخصص ويجد كل منهما فيه بغيته.يبدأ المؤلف بالتعريف بنحل العسل ومراحل تكاثره وأنواعه،ثم يتناول إنشاء المناحل وتجهيزها وأحدث الوسائل المتبعة في ذلك وووسائل حماية المنحل وتنميته ثم يتحدث عن منتجات النحل (العسل - الغذاء الملكي- أقراض العسل- حبوب اللقاح- البروبوليس.. إلخ) مبينا صفات كل نوع وطرق جمعه وتخزينه.والنحل مثله مثل باقي الكائنات يصاب بالامراض والآفات وهذا الموضوع يقلق كثيرا من مربي النحل لذا فان المؤلف أفرد له فصلا خاصا تناول فيه آفات النحل وأمراضه وطرق مكافحتها والوقاية منها بالاضافة إلى موضوعات اخرى كثيرة تهم مربي النحل تجدها بين دفتي هذا الكتاب,زراعة وحيوان علم الحيوان,5,"مراجعات
1",اقتباسات,"القرّاء
14",240 صفحة,"طبعات
1",نشر سنة 2007,,https://www.abjjad.com/book/2183856265/%D8%A7%D9%84%D9%85%D8%B1%D8%AC%D8%B9-%D8%A7%D9%84%D8%B4%D8%A7%D9%85%D9%84-%D9%81%D9%89-%D8%AA%D8%B1%D8%A8%D9%8A%D8%A9-%D8%A7%D9%84%D9%86%D8%AD%D9%84-%D9%88%D8%A7%D9%84%D9%85%D9%84%D9%83%D8%A7%D8%AA-%D9%88%D8%A7%D9%86%D8%AA%D8%A7%D8%AC/2184085645/reviews,https://abjjadst.blob.core.windows.net/pub/a8b0852c-4658-4c41-a327-9d3fd42c7482-192X290.jpg
53,ISBN × - 2285 - 10 - 977,سلسلة اقتصاديات الزراعة والغذاء: 1- إدارة نظم الزراعة الآلية,تأليف إبراهيم سليمان (تأليف),"المؤلفون
1",نتاج تراكم خبرات تدريس اقتصاديات الميكنة الزراعية الهندسة الزراعية على مستوى البكالورويس والدرسات العليا لمدة اثنى عشرا عامل ونشر مؤلفة فى مجال اقتصاديات الميكنة الزراعية 27 بحثا وأشراف على عدة رسائل علمية ورأس مشروعات بحثية ، ووعى فى منهجية الكتاب البناء المعرف الرأسى مع تقديم تطبيقات ودرسات ميدانية ، وقسمت أبوابة السبعة عشر إلى ثلاثة أجزاء . ويهدف الجزء الأول إلى الإلمام بألأسس والمبادى الاقتصادية لتحليل اقتصاديات نظم الزاعة الألية . ويهدف الجزء الثانى إلى معرفة الطرقة المحاسبية والنماذج الرياضية لتقدير بنود تشغيل نظم الزراعة الالية . ويهدف الجزء الثالث إلى الألمام بكيفية تحليل نماذج التنبؤ بالتكاليف السنوية لتشغيل نظم الزراعة الاَ لية، واستخدام النماذج الرياضية لاختيار المعدات من حيث الحجم الاقتصادى للإحلال ، وتققيم الأداء الفنى والاقتصادى وتحليل أثر المحددات الأجتماعية والسياسات الاقتصادية على نشر تقنيات الزراعة الاَلية .,زراعة وحيوان عام,3.3,مراجعات,اقتباسات,"القرّاء
14",368 صفحة,"طبعات
1",نشر سنة 2007,,https://www.abjjad.com/book/2184085937/%D8%B3%D9%84%D8%B3%D9%84%D8%A9-%D8%A7%D9%82%D8%AA%D8%B5%D8%A7%D8%AF%D9%8A%D8%A7%D8%AA-%D8%A7%D9%84%D8%B2%D8%B1%D8%A7%D8%B9%D8%A9-%D9%88%D8%A7%D9%84%D8%BA%D8%B0%D8%A7%D8%A1-1-%D8%A7%D8%AF%D8%A7%D8%B1%D8%A9-%D9%86%D8%B8%D9%85-%D8%A7/2184315317/reviews,https://abjjadst.blob.core.windows.net/pub/74f1059a-f180-4a9a-89f1-07c1410294ee-192X290.PNG
54,ISBN 8- 2309- 10- 977,إنتاج محاصيل الحقل,تأليف عبد الحميد السيد (تأليف) صلاح الدين عبد الرازق شفشق (تأليف),"المؤلفون
2", ,زراعة وحيوان زراعة عامة,1.7,"مراجعات
1",اقتباسات,"القرّاء
14",594 صفحة,"طبعات
1",نشر سنة 2007,,https://www.abjjad.com/book/2184118335/%D8%A7%D9%86%D8%AA%D8%A7%D8%AC-%D9%85%D8%AD%D8%A7%D8%B5%D9%8A%D9%84-%D8%A7%D9%84%D8%AD%D9%82%D9%84/2184347711/reviews,https://abjjadst.blob.core.windows.net/pub/a7c2733f-c2fa-4b6b-a4ba-15e817b96980-192X290.PNG
55,,أساسيات علم الفطريات,تأليف عبد الله الرحمة (تأليف),"المؤلفون
1",يبحث في أساسيات دراسة علم الفطريات: العارية والسوطية، واللاسوطية. ,زراعة وحيوان علم النبات,3.4,مراجعات,اقتباسات,"القرّاء
14",560 صفحة,"طبعات
1",نشر سنة 1998,,https://www.abjjad.com/book/2191065175/%D8%A7%D8%B3%D8%A7%D8%B3%D9%8A%D8%A7%D8%AA-%D8%B9%D9%84%D9%85-%D8%A7%D9%84%D9%81%D8%B7%D8%B1%D9%8A%D8%A7%D8%AA/2191294551/reviews,https://abjjadst.blob.core.windows.net/pub/4e9a896d-685f-4b17-ae88-d76e3a3da646-192X290.gif
56,ISBN 13 9789953305622,الموسوعة الشاملة في المعرفة والمعلومات: اللافقاريات ومواطنها,تأليف ناديا دياب (تأليف) محمد جمال أحمد قبيعة (ترجمة),"المؤلفون
2","أولادنا فضوليون بطبيعتهم، وهم بحاجة لإستكشاف كل ما يدور من حولهم؛ على أي حال، لا الأهل ولا المعلمون بارعون بما فيه الكفاية لتزويد هؤلاء اليَافِعين بمعلوماتٍ شاملة حول المواضيع المختلفة التي تجذب إنتباهَهم.هنا يأتي دور الكتب التي تَعْملُ كأداة فعّالة لسَدّ فراغات المعرفة لديهم، وذلك بتزويدهم بمعلومات شاملة عن المواضيع 
			ناديا دياب هي مؤلفة رائعة جدا لانها افت الكثير من الكتب التي اصدرته مكتبة لبنان ناشرون وانا أشكرها لانها ألفت قصة فار المدينة وفأر الريف لانه غلاف الكتاب جميل جدا وانا أشكرك جدا المختلفة.الموسوعة الشاملة في المعرفة والمعلومات، هي مجموعة زاخرة بالمعلومات والحقائق أتَت في أكثر من 100 مجلَّد مصوَّر، يُغطَي كلاَّ منها مدخلاً كافٍ ووافٍ لحقلٍ معين من الحقول المتنوعة في الحياة.من مواضيعها: التَّحف، الفنون، الفنّانون، النُّصب التذكاريَّة، أشياء فوق العادة، شخصيات بارزة، جسم الإنسان، السيَّارات، القِلاع والقصور، الزَّي الوطني، البُلدان، الفولكلور والتراث الشعبي، وسائل النقل وأنواعها، الحِكايات والقِصص المشهورة، المهرجانات، الأعلام، الزُّهور، الطَّائرات، الأحجار الكريمة والمجوهرات، الإكتشافات والإختراعات، الطَّوابع، العجائب، الأعشاب والتَّوابل، الحشرات، اللُّغات، الخِدع البصرية، النَّباتات الطبيَّة، الآلات الموسيقية، النجوم والكواكب، الكوارِث الطبيعية، الصِّحف، الفائزون، بجائزة نُوبِل، الجبال والبراكين، الألعاب والتسالي، التَّجارب العِلْميَّة، عجائب الفضاء، الرِّياضة وألعابها، محطمو الأرقام القياسية، الديناصورات، المِهَن، العَربات، الأسلِحة، الحدائق الوطنية، وغيرها من المواضيع التي ستَجعل من هذه الموسوعة مرجعاً شاملاً ورئيسياً في كل مدرسة، وبَيْت ومكتبة.",كتب أطفال كتب تعليمية زراعة وحيوان علم الحيوان مراجع موسوعات,3,"مراجعات
1",اقتباسات,"القرّاء
14",107 صفحة,"طبعات
2",نشر سنة 2011,,https://www.abjjad.com/book/2202271748/%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%88%D8%B9%D8%A9-%D8%A7%D9%84%D8%B4%D8%A7%D9%85%D9%84%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D9%85%D8%B9%D8%B1%D9%81%D8%A9-%D9%88%D8%A7%D9%84%D9%85%D8%B9%D9%84%D9%88%D9%85%D8%A7%D8%AA-%D8%A7%D9%84%D9%84%D8%A7%D9%81%D9%82/2202501126/reviews,https://abjjadst.blob.core.windows.net/pub/8c1e3584-10fc-465b-8a7d-fd85085539d5-192X290.jpg
57,ISBN 977-282-190-0,زهرة البستان ونزهة الأذهان,تأليف أبى عبدالله محمد بن مالك الغرناطي (تأليف),"المؤلفون
1",كتاب زهرة البستان ونزهة الأذهان من الكتب الزراعية المهمة وهو يجمع الكثير من التجارب الزراعية، كما يقدم معلومات عن أسماء الكثير من النباتات والمحاصيل الزراعية، العمليات الزراعية منذ اختيار التربة المناسبة حتى عملية الجنى أو الحصاد، منافع النباتات الطبية وفوائدها فى الحالات المرضية، كما أورد طرقًا عديدة لاستنباط المياه وكيفية حفر الآبار، وطرقًا للصناعات الغذائية التى كانت معروفة فى الأندلس.رجوع,زراعة وحيوان إنتاج وحماية المحاصيل,5,مراجعات,اقتباسات,"القرّاء
14",474 صفحة,"طبعات
1",نشر سنة 2005,,https://www.abjjad.com/book/2203910173/%D8%B2%D9%87%D8%B1%D8%A9-%D8%A7%D9%84%D8%A8%D8%B3%D8%AA%D8%A7%D9%86-%D9%88%D9%86%D8%B2%D9%87%D8%A9-%D8%A7%D9%84%D8%A7%D8%B0%D9%87%D8%A7%D9%86/2204139549/reviews,https://abjjadst.blob.core.windows.net/pub/4d1ad630-556c-4ee9-96df-66d7da31355e-192X290.png
58,مكتبة الأنجلو المصرية,أمراض النبات البكتيرية والفيروسية,تأليف سعد علي زكي (تأليف) عصمت خالد علام (تأليف),"المؤلفون
2", ,زراعة وحيوان الأمراض والآفات الزراعية,3,مراجعات,اقتباسات,"القرّاء
14",730 صفحة,"طبعات
1",نشر سنة 1996,,https://www.abjjad.com/book/2473984069/%D8%A7%D9%85%D8%B1%D8%A7%D8%B6-%D8%A7%D9%84%D9%86%D8%A8%D8%A7%D8%AA-%D8%A7%D9%84%D8%A8%D9%83%D8%AA%D9%8A%D8%B1%D9%8A%D8%A9-%D9%88%D8%A7%D9%84%D9%81%D9%8A%D8%B1%D9%88%D8%B3%D9%8A%D8%A9/2474213445/reviews,https://abjjadst.blob.core.windows.net/pub/0d2f068a-3d7a-4b66-aec3-b47e7bed33f4-192X290.png
59,ISBN 13 978-9957-02-444-4,أساسيات تغذية الدواجن,تأليف عبدالإله حميد صالح (تأليف) اسماعيل خليل ابراهيم (تأليف),"المؤلفون
2",يرتبط بعلم التغذية عدد من العلوم البايولوجية والفيزيائية لعل أهمها : الكيمياء العامة ، الفيزياء الحيوية ، والوراثة ، الأحياء الدقيقة الغدد الصم ، الرياضيات ، الإحصاء والفسلجة من ذلك يتضح لنا أنه لأجل فهم طبيعة العناصر الغذائية بحد ذاتها والتعرف على الدور الذي تقوم به وتوقع ما يترتب على نقص هذه العناصر أو عدم توازنها في الغذاء ، ولأجل التمكن من أعداد توليفة متوازنة تفي باحتياجات الطير الغذائية ، لا بد من الاستعانة بجانب أو أكثر من جوانب العلوم سالفة الذكر ، ونظراً لتباين التراكيب الوراثية ما بين السلالات المختلفة ، فأنه غالباً ما يتم الإستعانة بعلم الإحصاء للتعبير عن قيمة المعلومات التي تخص تأثيرات العوامل البيئية والوراثية ، ومن الواضح انه ليس من الممكن تغطية طبيعة العلاقات القائمة بين التغذية وهذه العلوم جمعياً بعمق كاف ضمن هذا الكتاب ولكن على أي حال لا يمكن إغفال أهمية أي منها لأنها بمجموعها تشكل الدعامة الأساسية التي يقوم عليها علم التغذية,زراعة وحيوان علم الحيوان,3,مراجعات,اقتباسات,"القرّاء
13",406 صفحة,"طبعات
1",نشر سنة 2013,,https://www.abjjad.com/book/2185560601/%D8%A7%D8%B3%D8%A7%D8%B3%D9%8A%D8%A7%D8%AA-%D8%AA%D8%BA%D8%B0%D9%8A%D8%A9-%D8%A7%D9%84%D8%AF%D9%88%D8%A7%D8%AC%D9%86/2185789977/reviews,https://abjjadst.blob.core.windows.net/pub/3e115b43-2c96-4cb5-b9ae-8569add56167-192X290.PNG
60,ISBN 13 978-9933-18-021-8,تطعيم أشجار الفاكهة وإكثارها,تأليف بيلك هانوش (تأليف),"المؤلفون
1",يتناول هذا الكتاب طرائق إكثار وتطعيم أشجار الفاكهة، والشروط التي يجب توافرها، والأدوات الخاصة المستخدمة في كل نوع من أنواع التطعيم، متناولاً عدة أنواع من الفاكهة مثل: الخوخ والمشمش والدراق والكرز والليمون وغيرها.. بالإضافة إلى بعض الأسس والقواعد التي تضمن الأمان والسلامة أثناء تنفيذ العمل. ,زراعة وحيوان تنمية زراعية,3.3,مراجعات,اقتباسات,"القرّاء
13",204 صفحة,"طبعات
1",نشر سنة 2009,,https://www.abjjad.com/book/2187266456/%D8%AA%D8%B7%D8%B9%D9%8A%D9%85-%D8%A7%D8%B4%D8%AC%D8%A7%D8%B1-%D8%A7%D9%84%D9%81%D8%A7%D9%83%D9%87%D8%A9-%D9%88%D8%A7%D9%83%D8%AB%D8%A7%D8%B1%D9%87%D8%A7/2187495855/reviews,https://abjjadst.blob.core.windows.net/pub/46259c6a-a995-48b3-b721-85594b2039b8-192X290.PNG
61,مكتبة لبنان ناشرون,معجم الألفاظ الزراعية (فرنسي - عربي),تأليف مصطفى الشهابي (تأليف),"المؤلفون
1",مع التطور الهائل الذي حدث مع تقنيات الزراعة دخلت على هذا الحقل مصطلحات وعبارات جديدة مبتكرة وأصبح لزاماً أن يقف المتخصص العربي على معنى هذه الألفاظ ومدلولاتها لكي يتمكن من مواكبة ما يحدث من تقدم متسارع في مجال تخصصه. وقد عمد الأمير مصطفى الشهابي إلى جمع الآلاف من هذه الألفاظ والمصطلحات فعرفها وشرحها شرحاً علمياً موجزاً مختاراً من الألفاظ العربية أصلح الألفاظ وقد شمل ذلك كل ما يتعلق بزراعة الحقول، وزراعة البساتين، والأحراج، وتربية الخيل والأنعام، والنحل والسمك ودواجن الطير. وكلب ما يتعلق بالزراعة والنبات والحيوان والحشرات.وقد اختار هذه المصطلحات من أمهات الكتب الفرنسية والإنكليزية المتخصصة كما عمد إلى تصحيح الألفاظ العربية بالرجوع إلى كتب اللغة العربية المعتمدة كالقاموس المحيط والمخصص ولم ينسى الرجوع إلى الكتب العربية التي عنت بالعلوم الزراعية مثل كتاب الفلاحة النبطية لابن وحشية والفلاحة اليونانية لقسطا بن لوقا، وغيرها من المؤلفات إضافة إلى اقتباسه من كتب المعاصرين.وقد سار في معجمه على نهج القدماء في نقل علوم اليونان وفارس فتحرى اللفظ العربي الذي يؤدي معنى اللفظ الأعجمي، وحين لا يتوفر مثل هذا اللفظ يعمد إلى ترجمته بمعناه أو الاشتقاق. واكتفى بهذا المعجم بذكر الألفاظ الدالة على الأجناس النباتية والحيوانية والألفاظ الدالة على أنواعها وأهمل الألفاظ الدالة على الضروب والسلالات. وعرب أسماء الأجسام الكيمياوية بسيطة كانت أو مركبة عدا تلك الأسماء التي تتوفر لها أسماء عربية. وهذا المعجم بصورة عامة يضع بين يدي العلماء والأدباء أساتذة الجامعات والمدارس الزراعية الثانوية والعاملين في هذه الحقول ما يحتاجون إليه.,زراعة وحيوان زراعة عامة مراجع معاجم,4.2,مراجعات,اقتباسات,"القرّاء
13",620 صفحة,"طبعات
1",نشر سنة 1982,,https://www.abjjad.com/book/2204401871/%D9%85%D8%B9%D8%AC%D9%85-%D8%A7%D9%84%D8%A7%D9%84%D9%81%D8%A7%D8%B8-%D8%A7%D9%84%D8%B2%D8%B1%D8%A7%D8%B9%D9%8A%D8%A9-%D9%81%D8%B1%D9%86%D8%B3%D9%8A-%D8%B9%D8%B1%D8%A8%D9%8A/2204631247/reviews,https://abjjadst.blob.core.windows.net/pub/9b96c1e8-fe25-4588-9626-2ec6ff79915c-192X290.png
62,ISBN 13 9789957065508,علم الحشرات العام,تأليف ياسر عفيفي السيد (تأليف),"المؤلفون
1",إن طائفة الحشرات  تقف كالعملاق الضخم بين الحيوانات المفصلية من حيث الكم والكيف منذ ملايين السنيين والحق أن الحشرات مخلوقات مثيرة  ومحيرة لكل من العلماء  وغير العلماء.. ولذلك ليس عجبا أن تسترعي الحشرات أنظار العلماء وليس بدعا أن يخطو هذا العلم خطوات راسخة لأن علم الحشرات له علاقة وثيقة  مع العلوم الاقتصادية والطبية والبيئية. فالنباتات تتأثر سواء كانت منزرعة أو برية من نزول الحشرات بها لأنها تضرها وتقلل من محصولها ولا تقتصر الحشرات الاقتصادية  على ما كان منها من سيء الأثر بل أنها تشمل جميع صفوف الحشرات المفيدة كدودة القز و نحل العسل. وأيضا صحة الإنسان وحيواناته تتأثر بالعديد من الحشرات مثل البعوض والبراغيث وذباب الخيل.ونظرا لأن معظم الكتب المتاحة  في علم الحشرات مترجمة من اللغات الأخرى وكثيرا منها لا يتلاءم مع واقع بيئتنا وثروتنا الطبيعية فقد كان هذا حافزا كبيرا لوضع هذا الكتاب في علم الحشرات العام من شكل خارجي وتشريح وتصنيف. وحتى نعمل على سد هذه الثغرة وتعميما للفائدة وخدمة القاعدة العريضة من الطلاب فقد رعي في وضع هذا الكتاب أن يخرج  متضمنا المادة العلمية باللغة العربية والمصطلحات العلمية باللغة الإنجليزية مع ترجمة عربية لها لكي يكون في خدمة المهتمين بدراسة علم الحشرات في كليات العلوم والزراعة والطب البيطري وكليات التربية بمستوياتها المختلفة كما يخدم هذا الكتاب طلاب المرحلة الثانوية  ليس هذا في مصر فحسب بل في سائر أنحاء الوطن العربي. هذا وقد تم تزويد هذا الكتاب بالعديد من الرسومات والصور حتى يسهل على الطالب أن يجد طريقه عند تناول المادة العلمية بالفحص والدراسة.,زراعة وحيوان علم الحيوان,5,مراجعات,اقتباسات,"القرّاء
12",176 صفحة,"طبعات
1",نشر سنة 2015,,https://www.abjjad.com/book/2186117392/%D8%B9%D9%84%D9%85-%D8%A7%D9%84%D8%AD%D8%B4%D8%B1%D8%A7%D8%AA-%D8%A7%D9%84%D8%B9%D8%A7%D9%85/2186346768/reviews,https://abjjadst.blob.core.windows.net/pub/31422dca-1866-49d0-8be1-372f0d7152a3-192X290.jpg
63,ISBN 13 978-9933-18-194-9,تصنيع سكاكر وحلويات الضيافة والمناسبات,تأليف حسين علي موصللي (تأليف),"المؤلفون
1",يتناول هذا الكتاب حلويات الضيافة بالدراسة الوافية التي تتناول المواد الأولية وطرائق التحضير والصناعة والتقديم، مقدماً يد المساعدة لربات البيوت والعاملين في الصناعات الغذائية والحرفيين الذين يعملون في هذا المجال. ,زراعة وحيوان منزلية,3.7,"مراجعات
1",اقتباسات,"القرّاء
12",8 صفحة,"طبعات
1",نشر سنة 2006,,https://www.abjjad.com/book/2187395243/%D8%AA%D8%B5%D9%86%D9%8A%D8%B9-%D8%B3%D9%83%D8%A7%D9%83%D8%B1-%D9%88%D8%AD%D9%84%D9%88%D9%8A%D8%A7%D8%AA-%D8%A7%D9%84%D8%B6%D9%8A%D8%A7%D9%81%D8%A9-%D9%88%D8%A7%D9%84%D9%85%D9%86%D8%A7%D8%B3%D8%A8%D8%A7%D8%AA/2187624630/reviews,https://abjjadst.blob.core.windows.net/pub/a456ec2f-0acc-4c00-ae38-0260a14deb79-192X290.PNG
64,,إنتاج الفاكهة فى الأراضى الصحراوية,تأليف حمدي إبراهيم (تأليف),"المؤلفون
1","يتناول هذا الكتاب الأراضى الصحراوية من حيث تعريفها وتوزيعها والصفات الرئيسية لها, ونسبة الأراضى القابلة للاستصلاح والزراعة. كما يتناول المياه المتاحة للأراضى الصحراوية, ومصادرها, ومدى صلاحيتها للري وكيفية استغلالها الاستغلال الأمثل يلقى الضوء علي طرق الري الحديثة التي تؤدى إلى ترشيد استهلاك المياه ومميزات كل طريقة وعيوبها وكيفية العناية بشبكات الري وصيانتها. 	وقد ركز هذا الكتاب علي أهم أشجار الفاكهة التي يمكن زراعتها بنجاح في تلك الأراضى متناولاً طبيعة نموها وكيفية إكثارها والعناية بها",زراعة وحيوان الأشجار المثمرة,5,"مراجعات
1",اقتباسات,"القرّاء
12",دار الفجر للنشر والتوزيع,"طبعات
1",نشر سنة 2011,,https://www.abjjad.com/book/2189132338/%D8%A7%D9%86%D8%AA%D8%A7%D8%AC-%D8%A7%D9%84%D9%81%D8%A7%D9%83%D9%87%D8%A9-%D9%81%D9%89-%D8%A7%D9%84%D8%A7%D8%B1%D8%A7%D8%B6%D9%89-%D8%A7%D9%84%D8%B5%D8%AD%D8%B1%D8%A7%D9%88%D9%8A%D8%A9/2189361715/reviews,https://abjjadst.blob.core.windows.net/pub/648f1407-ec2c-4566-ae89-5ceeebce0db7-192X290.PNG
65,الدار العربية للموسوعات,أبصال الزينة,تأليف مظفر أحمد داود (تأليف),"المؤلفون
1", ,زراعة وحيوان عام,5,"مراجعات
1",اقتباسات,"القرّاء
12",1 صفحة,"طبعات
1",نشر سنة 1987,,https://www.abjjad.com/book/2194048627/%D8%A7%D8%A8%D8%B5%D8%A7%D9%84-%D8%A7%D9%84%D8%B2%D9%8A%D9%86%D8%A9/2194278003/reviews,https://abjjadst.blob.core.windows.net/pub/33632e61-bafe-4011-a697-0156901b742c-192X290.png
66,دار اليازوري العلمية,المرشد التطبيقي في مكافحة الآفات الزراعية,تأليف رياض أحمد العراقي (تأليف) نديم أحمد رمضان (تأليف),"المؤلفون
2", ,زراعة وحيوان الأمراض والآفات الزراعية,4.8,مراجعات,اقتباسات,"القرّاء
12",12 صفحة,"طبعات
1",نشر سنة 2011,,https://www.abjjad.com/book/2196045926/%D8%A7%D9%84%D9%85%D8%B1%D8%B4%D8%AF-%D8%A7%D9%84%D8%AA%D8%B7%D8%A8%D9%8A%D9%82%D9%8A-%D9%81%D9%8A-%D9%85%D9%83%D8%A7%D9%81%D8%AD%D8%A9-%D8%A7%D9%84%D8%A7%D9%81%D8%A7%D8%AA-%D8%A7%D9%84%D8%B2%D8%B1%D8%A7%D8%B9%D9%8A%D8%A9/2196275308/reviews,https://abjjadst.blob.core.windows.net/pub/1a7ee117-e71a-4246-8870-24b6565d50c7-192X290.png
67,دار حنين - مكتبة الفلاح,مبادئ في الإدارة المزرعية,تأليف أحمد شكري الريماوي (تأليف) عبد الفتاح صالح القاضي (تأليف),"المؤلفون
2", ,زراعة وحيوان إنتاج وحماية المحاصيل,3,مراجعات,اقتباسات,"القرّاء
12",374 صفحة,"طبعات
1",نشر سنة 1997,,https://www.abjjad.com/book/2201354669/%D9%85%D8%A8%D8%A7%D8%AF%D8%A6-%D9%81%D9%8A-%D8%A7%D9%84%D8%A7%D8%AF%D8%A7%D8%B1%D8%A9-%D8%A7%D9%84%D9%85%D8%B2%D8%B1%D8%B9%D9%8A%D8%A9/2201584050/reviews,https://abjjadst.blob.core.windows.net/pub/07423924-6a3d-4d81-ac30-dc794d79449b-192X290.png
68,ISBN 13 978-603-90066-3-3,اللافقاريات,تأليف راندا أحمد عبد الهادى (تأليف),"المؤلفون
1", ,زراعة وحيوان علم الحيوان,,مراجعات,اقتباسات,"القرّاء
12",416 صفحة,"طبعات
1",نشر سنة 2010,,https://www.abjjad.com/book/2201420074/%D8%A7%D9%84%D9%84%D8%A7%D9%81%D9%82%D8%A7%D8%B1%D9%8A%D8%A7%D8%AA/2201649452/reviews,https://abjjadst.blob.core.windows.net/pub/f8ecd99e-6208-466d-8617-e8da21754f23-192X290.png
