,ISBN,Title,Author,Authors_Number,Description,Genres,Average_Ratings,Reviews_Number,Quotes_Number,Community_Size,Pages_Number,Editions,Publication_Year,Publisher,URL,Cover_URL
212,ISBN 13 978-614425-759-3,صولو,تأليف نور عبد المجيد (تأليف),"المؤلفون
1","ماتت بياضة, وانتقل زوجها عمران وابنتهما بدرية من ملاوي في الصعيد إلى القاهرة.في بناية جلّ شققها فارغة، عمل عمران ناطوراً. جرح يده فداوته مروة, زوجة المهندس وحيد. منذ تلك الحادثة بات عمران يقف على حافة بين ضميره وبين تعلّقه بمروة. أما بدرية فباتت حياتها مرتبطة بياسر، تنتظر عودته من المدرسة 			الروائية نور عبد المجيد، حاصلة على ليسانس الآداب من جامعة أم القرى وعلى دبلوم في التربية وعلم النفس من جامعة عين شمس في القاهرة، وشغلت منصب مسؤول تحرير مجلة «مدى» السعودية لمدة عامين، ومنصب مساعد رئيس تحرير مجلة «روتانا» لمدة عام واحد، ولها الآن زاوية ثابتة في مجلة «كل الناس»،قامت كل يوم ليجلس معها على الدرج الخلفي ويلقّنها اللغة الإنكليزية.بثّت بدرية في سكان البناية طاقةً إيجابية. كانت السبب في خروج نادية، مالكة البناء، من حالتها النفسية الصعبة بعد موت زوجها وابتعاد ابنها. باتت بدرية الروح التي تنبض باسمها العمارة التي غمرها الحزن لفترة طويلة.""الرواية تأسرك بجمالها وصدقها، وبرقة تناولها للعلاقات الإنسانية. وهي، وإن كانت تحكي قصصاً وثيقة الصلة بواقع اجتماعي وثقافي معين، تتجاوز هذا الواقع إلى أفق أوسع وأرحب، مما يجعلها جديرة بمكانة متميزة في الأدب العربي الحديث"".د. جلال أمين، كاتب وناقد مصري	 نور عبدالمجيد وأثناء فترة عملها الصحفي باجراء العديد من التحقيقات والحوارات الهامة ومن أبرزها حواراتها مع:1- فضيلة الدكتور علي جمعة مفتي الديار المصرية.2- الصحفي والكاتب محمد عبدالقدوس.3 - الصحفي والكاتب مفيد فوزي.4 - الصحفي رئيس تحرير جريدة الأسبوع مصطفى بكري.هؤلاء كتبوا عن نور ومؤلفاتها:لاقى صدور أولى مؤلفات نور عبدالمجيد «وعادت سندريلا حافية القدمين» صدى طيب في الأوساط الأدبية وكتب الشاعر الكبير فاروق جويدة مقدمة رائعة لديوانها المذكور وتوالت بعد صدور الديوان الكثير من المقالات التي تشيد بجمال ورشاقة أسلوب الكاتبة.ثم تبع ظهور الديوان خروج روايتها الأولى «الحرمان الكبير» والتي خرجت من الدار العربية للعلوم حيث حقق هذا الكتاب نجاحا كبير",أدب روايات,4.3,"مراجعات
7","اقتباسات
10","القرّاء
562",1114 صفحة,"طبعات
1",نشر سنة 2013,دار الساقي للطباعة والنشر,https://www.abjjad.com/book/2173141105/%D8%B5%D9%88%D9%84%D9%88/2173337715/reviews,https://abjjadst.blob.core.windows.net/pub/1129b77e-653a-49e6-8e45-da155f4530c7-192X290.png
213,ISBN 13 9789953886138,ألف,تأليف باولو كويلو (تأليف) وفيق زيتون (مراجعة) رنا الصيفي (ترجمة),"المؤلفون
3","روايته الأكثر دخولاً إلى عمق النفس البشريّة حتى الآن، يعود باولو كويلو، المؤلف الأكثر مبيعاً عالمياً، برحلة رائعة لمزيد من اكتشاف الذات. في الوقت الذي يسعى فيه إلى طريق للتجدد والنمو الروحي، يقرر أن يبدأ مجدداً: ليسافر، ليختبر، وليعاود التواصل مع الناس والطبيعة.
				ولد باولو كويلو في ريو دي جانيرو بالبرازيل في 24 أغسطس لعام 1947. تمنى كويلو في مراهقته أن يغدو كاتباً, إلا أن والدته كان لها رأي آخر عندما صرّح لها بذلك ""عزيزي؛ والدك مهندس, رجل منطقي, عملي, صاحب رؤية واضحة المعالم جدا للعالم. هل تعلم حقا ما هو معنى أن تصبح كاتباً؟"" وفي السادسة عشر من عمره, أدت إنطوائية كويلو ومقاومته لسلوك الطرق التقليدية في الحياة بوالديه إلى أن يرسلاه إلى مؤسسة عقلية, وهو ما دفعه إلى الهرب منها ثلاث مرات قبل أن يُطلق سراحه منها نهائيا في العشرين من عمره! ولقد عقّب كويلو على ذلك الموضوع فيما بعد قائلا "" لم تكن المسألة أنهما يريدان (يعني والديه) إيذائي, كانا فقط يجهلان ما ينبغي عليهما فعله اتجاهي. إنهما لم يقوما بذلك لأجل تدميري, بل لأجل الحفاظ عليّ"". ونزولاً على رغبات والديه؛ إلتحق كويلو بمدرسة القانون وهجر حلمه القديم في أن يصبح كاتباً. وبعد ذلك بعام واحد؛ ترك كويلو المدرسة وعاش",أدب روايات أدب أدب مترجم,3.5,"مراجعات
28","اقتباسات
21","القرّاء
561",332 صفحة,"طبعات
1",نشر سنة 2011,,https://www.abjjad.com/book/15445433/%D8%A7%D9%84%D9%81/24748780/reviews,https://abjjadst.blob.core.windows.net/pub/e0db6c7e-7297-42c1-a9d0-c518c8f1fc7c-192X290.png
214,ISBN 13 9789775171979,ثلاثة رجال وامرأة,تأليف إبراهيم عبد القادر المازني (تأليف),"المؤلفون
1","رواية رائعة ومثيرة، بطلتها فتاة ذات جمال آسر، وحيرتها بين ثلاثة رجال: «حليم» الذى كان الرجل الأول فى حياتها. و«نسيم» رجلها الثانى الذى أبدى لها حبًّا أدخلهما فى حيرة بالغة. وفى إحدى رحلاتها إلى الثغر لتتخذ قرارًا بشأن علاقتها بنسيم تلتقى برجلها الثالث «حمدى»، الذى يلخص حلمها فى الرجال.
				شاعر مصري من شعراء العصر الحديث، عرف كواحد من كبار الكتاب في عصره كما عرف بأسلوبه الساخر سواء في الكتابة الأدبية أو الشعر واستطاع أن يلمع على الرغم من وجود العديد من الكتاب والشعراء الفطاحل حيث تمكن من أن يوجد لنفسه مكاناً بجوارهم، على الرغم من اتجاهه المختلف ومفهومه الجديد للأدب، فقد جمعت ثقافته بين التراث العربي والأدب الإنجليزي كغيره من شعراء مدرسة الديوان.يستطيع الكاتب عن الشخصيات أن يختار المهنة التي تناسب الشخصيات التي يقدمها ولكن من الصعب ان يتخيل احدا للمازنى مهنة غير الأدب, "" فخيل إليه أنه قادر على ان يعطى الأدب حقه، وأن يعطى مطالب العيش حقها, فلم يلبث غير قليل تى تبين له أنه للأدب وحده، وأن الأدب يلاحقه أينما ذهب فلا يتركه حتى يعيده إلى جواره. قدم المازني العديد من الأعمال الشعرية والنثرية المميزة نذكر من أعماله: إبراهيم الكاتب، وإبراهيم الثاني – رواياتان، أحاديث المازني- مجموعة مقالات، حصاد الهشيم، خيوط العنكبوت، ديوان المازنى، رحلة الحجاز،",أدب روايات,2.8,"مراجعات
4","اقتباسات
1","القرّاء
561",164 صفحة,"طبعات
2",نشر سنة 2012,مؤسسة هنداوي للتعليم والثقافة,https://www.abjjad.com/book/2169930069/%D8%AB%D9%84%D8%A7%D8%AB%D8%A9-%D8%B1%D8%AC%D8%A7%D9%84-%D9%88%D8%A7%D9%85%D8%B1%D8%A7%D8%A9/2173764405/reviews,https://abjjadst.blob.core.windows.net/pub/bb675403-1231-431c-888b-aed60c0fb733-192X290.png
215,ISBN 13 9789948390633,حكاية الجارية,تأليف مارغريت آتوود (تأليف) أحمد العلي (ترجمة),"المؤلفون
2","رؤية مخيفة للمجتمع وقد تحوّل جذريًّا بسبب ثورة سياسيّة دينيّة متشدّدة. لقد باتت ""حكاية الجارية"" واحدة من أوسع الروايات قراءة في العالم وأكثرها تعلّقًا بالحاضر وقضاياه المؤثّرة.""أوفرِد"" هي جارية في ""جمهورية جلعاد"" ، تخدم في منزل ""الرئيس"" الغامض وزوجته حادّة الطّباع. تخرج مرة واحدة يوميًّا إلى الأسواق، حيث استُبدلت الصّور بكلّ اللافتات المكتوبة، فالنساء في جلعاد تحرّم عليهن القراءة. يجب عليها أن تصلي من أجل أن يجعلها الرّئيس حاملًا ، ففي زمنها انخفضت معدّلات الولادة حتى صار وجود الأطفال في البيوت أمرًا نادرًا، وهكذا باتت قيمة المرأة تكمن في قُدرتها على الحمل، أمّا فشلها فيعني إرسالها إلى المستعمرات لتنظيف النفايات الإشعاعيّة. تتذكر أوفرد الأوقات التي عاشتها مع زوجها وابنتها، وفي وظيفتها ، قبل أن تسلبها الثورة حتى اسمها الحقيقي.رواية تُعتبر في مصافّ رواية جورج أورويل ""1984"" و آلدوس هكسلي ""عالم جديد شجاع""، إذ لم تترك بصمتها وحسب في أدب الدستوبيا، بل وشكّلت تحذيرًا لمُستقبل يُحتمل وقوعه، ونشعر الآن برعشة برودته.",أدب روايات أدب أدب مترجم,2.4,"مراجعات
16","اقتباسات
17","القرّاء
560",743 صفحة,"طبعات
1",نشر سنة 2019,روايات (مجموعة كلمات),https://www.abjjad.com/book/2744778752/%D8%AD%D9%83%D8%A7%D9%8A%D8%A9-%D8%A7%D9%84%D8%AC%D8%A7%D8%B1%D9%8A%D8%A9/2745630720/reviews,https://abjjadst.blob.core.windows.net/pub/30f0b2bb-b748-4aca-abb8-6a426e87003e-192X290.png
216,ISBN 13 9788832201550,على قرن الكركدن,تأليف فرانشيسكا بيلينو (تأليف) أحمد الصمعي (مراجعة) سوسن بوعائشة (ترجمة),"المؤلفون
3","بأسلوبٍ سينمائيٍّ تشويقيٍّ، تروي فرانشيسكا بيلّينو في روايتها ""على قرن الكَرْكَدَنّ""، ذكرياتِ ماري مع مريم، والتي تمرُّ أمامَنا كشريطَ فيلمٍ على الطريق؛ بين الحياةِ في روما والعطلات الصيْفيّة في القيروان، تستحضرُها الكاتبةُ بكلٍّ تفاصيلها، ولا تتوقّف عندها، بل تتقاطع مع ما كانت تعيشه تونس؛ أيام الثورة، ساعاتٍ قليلة بعدَ طرد بن علي، والذي يتصادف مع موت مريم.في هذهِ الأجواء المشحونَةٍ والمُضطربَة، تصلُ ماري من إيطاليا، هي الآن خارجةٌ من المطار، مصدومَةٌ ومشوَّشَة، ولا شيءَ يشغلها إلَّا الوصول إلى مدينةِ القيروان، لحضور جنازةِ صديقتِها. كان هادي، أوَّل سائق عرَض عليها خدمته، ليُصبحَ دليلَها على خارطةِ بلدٍ يعيشُ على وقعِ الاضطراباتِ السّياسيّة التي رافقت التحرُّرَ من الديكتاتورية، وما صاحبها من آمالٍ واحتجاجات، واحتفالات ومشادّات، تنعكس، في صورٍ متسارعةٍ خلال الرِّحلة، على زجاجِ سيّارةِ أجرةٍ بالية.رواية ""على قرن الكَرْكَدَنّ"" تحاول الإجابة عن سؤال؛ كيفَ تتحوَّل الصداقة بين ماري الإيطالية التائهة ومريم التونسية المُهاجرة إلى إيطاليا بدافعِ الحبّ والهروبِ من زوج أمّها المستبدّ؛ إلى بحثٍ عميقٍ عن الذَّات، تتكشَّفُ سُبلُهُ الخفيّة بشكلٍ مُدهشٍ في آخر الكتاب الذي نكتشف بين دفَّتيهِ، قصّةَ امرأتين تجدان الطريق إلى ثورتهما الخاصّة، وما كان ليكون تطابق اسميْهما في لغتينِ وثقافتينِ مختلفتيْن محض صدفة.",أدب روايات,4,"مراجعات
9","اقتباسات
21","القرّاء
556",206 صفحة,"طبعات
1",نشر سنة 2020,منشورات المتوسط,https://www.abjjad.com/book/2740125697/%D8%B9%D9%84%D9%89-%D9%82%D8%B1%D9%86-%D8%A7%D9%84%D9%83%D8%B1%D9%83%D8%AF%D9%86/2740912129/reviews,https://abjjadst.blob.core.windows.net/pub/9daf0bb2-ea44-450e-a00e-3bb1701eb282-192X290.png
217,ISBN 13 9789777199636,قصص روسية,تأليف مجموعة من الكتاب الروس (تأليف) سليم قبعين (ترجمة),"المؤلفون
2",يُقدم لنا «سليم قبعين» مجموعة من القصص الروسية الممتعة، والتي لم تقتصر أهدافها على التسلية فقط بل تعدتها؛ ليبث فيها معارف كثيرة. ففي قصة «القروية الحسناء» نرى قصة الحب بين «أليكسي» و«ليزا»، وفي إطار القصة يعرض الأبعاد الاقتصادية والاجتماعية والتغيرات الثقافية في الريف الروسي؛ تلك الأبعاد التي كادت أن تقضي على قصة حب. أما في قصة «ليَّا» فيتداخل فيها الحب والسياسة والدين؛ حيث تتجلى الآثار الاجتماعية للحرب العالمية الأولى، كما أكد على كره اليهود لروسيا. ويقدم فى قصة «أحد ملوك الجمهورية» الحياة الأميركية كما يراها ثري أميركي؛ فيعرض مساوئ المجتمع وسبل علاجه. وفي النهاية يعرض المؤلف لبعض قصص العرب عن الحب والغرام؛ كمثل قصة «الأصمعي» مع الشاب العاشق، وقصة الحب التي اشتعلت نيرانها بين «هارون الرشيد» وجاريته الحسناء.,أدب قصص أدب أدب مترجم,3.3,"مراجعات
6","اقتباسات
3","القرّاء
554",95 صفحة,"طبعات
1",نشر سنة 2014,مؤسسة هنداوي للتعليم والثقافة,https://www.abjjad.com/book/2537587038/%D9%82%D8%B5%D8%B5-%D8%B1%D9%88%D8%B3%D9%8A%D8%A9/2537816415/reviews,https://abjjadst.blob.core.windows.net/pub/24e804d6-fc74-44da-bdd4-402cd47175ae-192X290.png
218,ISBN 13 9789770915912,حديث الصباح والمساء,تأليف نجيب محفوظ (تأليف),"المؤلفون
1","هى رواية كل كائن وإنسان على وجه الأرض... نفس البداية والنهاية.. لا يختلف فيها صبى عن رجل عن امرأة عن فتاة مهما اختلفت وتباينت الأحداث. فهذا ""أحمد عطا المراكيبي"" العملاق ذو الجسم الطويل المنبسط .. يباشر الأعمال ويتولى المهام ويرجع في نهاية المطاف مثقل الأجفان ويسلم روحه منتصف الليل ، 			روائي مصري حائز على جائزة نوبل في الأدب. وُلد في 11 ديسمبر 1911، وتوفي في 30 أغسطس 2006. كتب نجيب محفوظ منذ بداية الأربعينيات واستمر حتى 2004. تدور أحداث جميع رواياته في مصر، وتظهر فيها ثيمة متكررة هي الحارة التي تعادل العالم. من أشهر أعماله الثلاثية وأولاد حارتنا التي مُنعت وأيضا ""حليم عبد العظيم داود"" ولد في أحضان الترف والغنى وهزمه المرض الذي أسلمه إلى الموت.. و"" صديقة "" ، ""رشوانة"" ، "" معاوية"" ، ""بليغ"".. وغيرهم ممن استعرض حياتهم في هذا الكتاب المبدع ونجيب محفوظ"" وكان من خلال تصويره لهم يصور حياة البشر أجمعين .. ويعلنها عالية واضحة لا فرار منها .. يعلن أن الحياة كما تبدأ بصرخة وليد تنتهى بشهقة الموت.. فهذه القصص جمعت من الأهل والأقارب و الآباء والأبناء ما يترجم هذه الفكرة ويجسدها أمام قارئ الراوية.. و في بساطة الفكرة وتكرار أحداثها مع شخصها.. كان عمق الفلسفة وإصرارها التى أرادها أديب نوبل .. أنها ليست قصة بعض الأشخاص وإنما هى قصة الحياة والموت والفلسفة التي تصدر منها والبلاغة التي تصيغ حبات الأحداث ودرر الكلم في مزيج أخرج من المعتاد شرابا جديدا لن نمل الإستمتاع به رشفة رشفة	 من النشر في مصر منذ صدورها وحتى وقتٍ قريب. بينما يُصنف أدب محفوظ باعتباره أدباً واقعياً، فإن مواضيع وجودية تظهر فيه.محفوظ أكثر أديبٍ عربي حولت أعماله إلى السينما والتلفزيون.سُمي نجيب محفوظ باسمٍ مركب تقديراً من والده عبد العزيز إبراهيم للطبيب أبوعوف نجيب باشا محفوظ الذي أشرف على ولادته التي كانت متعسرة. بدأ نجيب محفوظ الكتابة في منتصف الثلاثينيات، وكان ينشر قصصه القصيرة في مجلة الرسالة. في 1939، نشر روايته الأولى عبث الأقدار التي تقدم مفهومه عن الواقعية التاريخية. ثم نشر كفاح طيبة ورادوبيس منهياً ثلاثية تاريخية في زمن الفراعنة. وبدءاً من 1945 بدأ نجيب محفوظ خطه الروائي الواقعي الذي حافظ",أدب روايات روايات نجيب محفوظ روايات نجيب محفوظ كتب دار الشروق كتب دار الشروق,4.1,"مراجعات
22","اقتباسات
5","القرّاء
554",228 صفحة,"طبعات
1",نشر سنة 2019,دار الشروق,https://www.abjjad.com/book/15445125/%D8%AD%D8%AF%D9%8A%D8%AB-%D8%A7%D9%84%D8%B5%D8%A8%D8%A7%D8%AD-%D9%88%D8%A7%D9%84%D9%85%D8%B3%D8%A7%D8%A1/24748472/reviews,https://abjjadst.blob.core.windows.net/pub/68d4ea88-7620-4f8d-a776-6f92a0e86a63-192X290.png
219,ISBN 13 9789938886481,الطلياني,تأليف شكري المبخوت (تأليف),"المؤلفون
1","تدور أحداث الرواية حول عبد الناصر الطليانى، ذلك الشاب ذو الملامح الخليطة بين الأندلسية والتركية الذى يختلف كلية عن والده الحاج محمود الذى يُعرف بورعه وتقواه. تبدأ الرواية بمشهد لتشييع جثمان الحاج محمود أبو عبد الناصر الطليانى إلى مثواه الأخير، بحضور ابنيه عبد الناصر وصلاح الدين وأقاربه، إلا أنه يحدث 			شكري المبخوت حاصل على دكتورا الدولة في الآداب من كلية الآداب بمنوبة . عميد  سابق لكلية الآداب والفنون والإنسانيات بجامعة منوبة ويشغل الآن وظيفة رئيس جامعة منوبة . عضو في عديد هيئات تحرير مجلاّت محكّمة  منها  مجلّة ""إبلا"" التي يصدرها معهد الآباء البيض بتونس و مجلّة Romano موقف غريب عند الدفن يجعل جميع الحضور ينصرفون قبل أداء واجب العزاء، كان المتسبب فيه ابنه الطليانى .نبذة الناشر:رغم كلّ شيء ثمّة أمْرٌ ما يربطهما أكثر من الزواج الذي ساقته الظّروف والصّدفة. حين تشرع شفتا الطلياني تمتصّان رضاب تلك القصبة المفكّرة وتجوس يداه في ملمسها اللّيّن، تصبح غصنًا أخضر غضًّا يتلوّى كلّما مسّتْه ريحُ الرّغبةِ. هذه النّبتة الشّيطانيّة مذهلةٌ قُلَّبٌ لا تستقرّ على هيئة واحدة. يراها غصنًا جافًّا أو جذعًا يابسًا أحيانًا. وتكون أحيانًا أخرى عُودًا منوّرًا طيّبَ الرّيح يجدّد الحواسّ التي تبلّدت. ربّما كان ذلك بعض ما جعل طريقيهما يفترقان في أكثر الأيّام، ولكنّهما يلتقيان في لحظة لا يعرفان سرّها. واعترفت زينة بأنّ الطلياني يمكن أن تراه في لحظات غضبه كجحيم ""دانتي"" أو سقوط ""أورفيوس""،  ولكنّها تراه في لحظات شهوته عاشقًا هنديًّا مستعدًّا للموت عشقًا. لقد كان شهوة موقوتة لا تعرف متى تنفجر ولا تترك في الجسد مكانًا لا تصله الحروق اللّذيذة أو الشّظايا القاتلة..  لم تصارح زينة عبد النّاصر برأيها هذا فيه. وهو كذلك لم يفعل. بيد أنّ في المسألة شيئًا دقيقًا عميقًا لم تتمكّن من فهمه. فقد كانت تأخذها في البداية سكرة ممزوجة برعدة كأنّها في حالة شطح للذّوبان في جسد عبد النّاصر والانصهار الكلّي فيه. جسده حقل مغناطيس بهيّ ينوّم الحواس ويستنفرها في الآن نفسه. يذهب بالعقل فتتخدّر الأعضاء كلّها. يجعلها تشعر في آن واحد بألم لا يُطاق ولذّة لا توصف. فتستسلم وترضخ. بيد أنّها حالَمَا تثوب إلى رشدها لا يبقى إلاّ ألَمٌ حادٌّ مروّع في أحشائها أسفل البطن، كأنّ إبَرًا غليظةً تنخرها من الدّاخل وتحرّكها يد خفيّة تظلّ تحفر وتحفر ولا تتوقّف..... فازت بجائزة ""الإبداع العربي"" لمعرض تونس الدولي للكتاب 2015، كما فازت بجائزة ""الكومار الذهبي"" التونسية لعام 2015 قبل أن تفوز بالجائزة العالمية للرواية العربية (البوكر) للعام نفسه....وقال د. خالد الغريبي، الأستاذ بكلية الآداب بصفاقس: رواية الطلياني، هي منّا إلينا، سواء أكنّا شهودا على أحداثها، ممثّلين أو كومبارس، أم مجرّد قرّاء لا صلة لنا بها إلا بالتخييل... لعلّ الرواية بمتنها وحاشيتها تنزع عنّا ورقة التوت وتدفئنا ببيانها الآسر وألاعيبها الساحرة.....أشار الكاتب والباحث والإعلامي التونسي عبد الدائم السلامي، إلى أن «الطلياني» رواية إدانة: إدانة السلطة وأعوانها، وإدانة الأيديولوجيا ودعاتها، وإدانة القيم الاجتماعية وحرّاسها من المثقّفين والعامّة، وهي أيضاً رواية حلم وحبّ...""ورغم كون هذه الرواية عملا بكراً، إلا أنه عكس طاقات سردية كامنة لدى المبخوت، الأكاديمي والناقد بالأساس، وقدرته على إدارة الرواية بشكل جيد."" جريدة الأيام	 Arabica  التي يصدرها مركز الدّراسات العربيّة التّابع لجامعة بوخارست ( رومانيا)له مشاركات عديدة في الندوات العلمية ومقالات منشورة وإسهامات في التأليف المدرسيّ ومعالجة قضايا تربويّة وتعليميّة.من كتبه المنشورة:1992: سيرة الغائب، سيرة الآتي – السيرة الذاتية في كتاب ""الأيام"" لطه حسين، دار الجنوب،          تونس، سلسلة ""مفاتيح""1993: جمالية الألفة: النص ومتقبّله في التراث النقدي، بيت الحكمة، تونس.2006: إنشاء النفي، مركز النشر الجامعي – كلية الآداب والفنون والإنسانيات، تونس 2006: الاستدلال البلاغي، كلّية الآداب والفنون والإنسانيّات-(وحدة البحث في تحليل الخطاب) ودار المعرفة، تونس ( طبعة ثانية ،2010 ،، دار الكتاب الجديد المتحدة،بيروت.2007 :المعنى",أدب روايات جوائز الروايات الحائزة على جوائز,3.6,"مراجعات
16","اقتباسات
19","القرّاء
552",468 صفحة,"طبعات
1",نشر سنة 2014,دار التنوير للطباعة والنشر والتوزيع,https://www.abjjad.com/book/2205320821/%D8%A7%D9%84%D8%B7%D9%84%D9%8A%D8%A7%D9%86%D9%8A/2205550197/reviews,https://abjjadst.blob.core.windows.net/pub/1455d7cc-dcf3-49a8-a2ad-85d3843b1399-192X290.png
220,ISBN 13 9789953891712,حبي الأول,تأليف سحر خليفة (تأليف),"المؤلفون
1","حكاية حب مبرح يتجسد في عدة وجوه: وجه يتراءى في قصة عشق طفولي تبرعم في مرحلة الصبا وربيع العمر وعاد لينبثق ويتجدد مع ذبول الخريف، ووجه وطني يتنافس فيه العشاق على الفداء والبطولة واختراق المحال...في هذه الرواية المتعددة الشخصيات والمراحل والأزمنة، تتجلى قدرة سحر خليفة الفنية على الاستبطان، وصهر الماضي 			من أهم الروائيين الفلسطينيين. ولدت في نابلس عام 1941. تزوجت في سن مبكرة زواجا تقليديا؛ وبعد مرور ثلاثة عشر عاما من الإحباط وخيبة الأمل، قررت أن تتحرر من هذا الزواج وتكرس حياتها للكتابة. وقد عادت لتواصل دراستها الجامعية، وحصلت على شهادة الدكتوراة من جامعة أيوا في دراسات المرأة والأدب الأمريكي. والحاضر في بناء درامي مركب يستمد الحلم من الذكرى، ويعيش الأزمة في الواقع، ويجد الأمثولة في حياة الناس وعبر التاريخ.	 تعمل الآن مديرة لمركز شؤون المرأة والأسرة في نابلس . كتبت حتى الآن عشر روايات. روايتها الأولى ""لم نعد جواري لكم"" (1974) أحدثت صدى كبيرا بسبب دفاعها عن حرية المرأة، غير أن سحر لم تلحظ بالاعتراف الأدبي إلا بعد صدور روايتها الثانية ""الصبار"" (1976). ترجمت معظم رواياتها إلى العبرية والفرنسية والألمانية والهولندية والإنجليزية والإيطالية والإسبانية والماليزية واليونانية والنرويجية والروسية.نالت العديد من الجوائز العربية والعالمية أهمها: جائزة ألبرتو مورافيا للأدب المترجم للإيطالية، جائزة سيرفانتس للأدب المترجم للإسبانية، جائزة نجيب محفوظ عن روايتها صورة وأيقونة وعهد قديم، وجائزة سيمون دي بوفوار التي رفضتها لأسباب وطنية عام 2009.أصدرت أيضا:(لم نعد جواري لك)م (1974)(الصبار)",أدب روايات,3.8,"مراجعات
9","اقتباسات
6","القرّاء
550",235 صفحة,"طبعات
2",نشر سنة 2014,دار الآداب,https://www.abjjad.com/book/2169634852/%D8%AD%D8%A8%D9%8A-%D8%A7%D9%84%D8%A7%D9%88%D9%84/2169831465/reviews,https://abjjadst.blob.core.windows.net/pub/2e98f998-ede8-41f5-8108-f6af040e3336-192X290.png
221,ISBN 9770913200,لو أننا لم نفترق,تأليف فاروق جويدة (تأليف),"المؤلفون
1","لو أننا ..لم نفترق
كانت خطانا فى ذهول تبتعد
وتشدنا أشواقنا
فنعود نمسك بالطريق المرتعد
تلقى بنا اللحظات
فى صخب الزحام كاننا
جسد تناثر فى جسد
جسدان فى جسد نسير وحولنا
كانت وجوه الناس تجرى كالرياح
فلا نرى منهم أحد
				شاعر مصري. ولد في محافظة كفر الشيخ، وعاش طفولته في محافظة البحيرة، تخرج في كلية الآداب قسم الصحافة عام 1968، وبدأ حياته العملية محررا بالقسم الاقتصادي بجريدة الأهرام، ثم سكرتيرا لتحرير الأهرام، وهو حاليا رئيس القسم الثقافي بالأهرام. من مؤلفاتهأوراق من حديقة أكتوبر (ديوان شعر) ـ 1974حبيبتي لا ترحلي (ديوان شعر) ـ 1975أموال مصر: كيف ضاعت (اقتصاد) ـ 1976ويبقى الحب (ديوان شعر) ـ 1977وللأشواق عودة (ديوان شعر) ـ 1978في عينيك عنواني (ديوان شعر) ـ 1979الوزير العاشق (مسرحية شعرية) ـ 1981بلاد السحر والخيال (أدب رحلات) ـ 1981دائماً أنت بقلبي (ديوان شعر) ـ 1981لأني أحبك (ديوان شعر) ـ 1982شيء سيبقى بيننا (ديوان شعر) ـ 1983طاوعني قلبي في النسيان (ديوان شعر) ـ 1986لن أبيع العمر (ديوان شعر) ـ 1989زمان القهر علمني (ديوان شعر) ـ 1990قالت (خواطر نثرية) ـ 1990كانت لنا أوطان (ديوان شعر) ـ 1991شباب في الزمن الخطأ ـ 1992آخر ليالي الحلم (ديوان شعر) ـ 1993دماء على أستار الكعبة (مسرحية شعرية) ـالخديوي (مسرحية",أدب دواوين شعر,4,"مراجعات
32","اقتباسات
18","القرّاء
545",95 صفحة,"طبعات
1",نشر سنة 2005,دار الشروق,https://www.abjjad.com/book/15456171/%D9%84%D9%88-%D8%A7%D9%86%D9%86%D8%A7-%D9%84%D9%85-%D9%86%D9%81%D8%AA%D8%B1%D9%82/24757195/reviews,https://abjjadst.blob.core.windows.net/pub/dde022ec-1dfe-41c0-917c-f2a56ea112a6-192X290.jpg
222,ISBN 13 9786144221778,روايات شارلوك هولمز المصورة: دراسة في اللون القرمزي,تأليف آرثر كونان دويل (تأليف),"المؤلفون
1","""هناك الخيط القرمزي للقتل...""... عثر على إحدى الجثث في غرفة ملطخة الدماء - ولكن دون وجود أي جرح واضح، كما عثر على اسم قد كتب بالدماء على جدار الغرفة، وخاتم زواج لسيدة... سوف يبدأ شارلوك هولمز تتبع هذه القصة المثيرة من إحدى البنايات الحقيرة في لندن وحتى السهول الشاسعة في الغرب الأمريكي، والتي ستمنحه قضية إختبارية في ""علم الإستنتاج"" - ولكن الإكتشاف الأعظم بالنسبة لصديقه الدكتور واطسون هو شارلوك هولمز نفسه.""... وعلينا أن نتتبعه ونكشف عن هذا اللغز!""...الكتاب غير موجود ابحث عنه",كتب أطفال روايات أدب روايات,4,"مراجعات
14","اقتباسات
4","القرّاء
543",132 صفحة,"طبعات
1",نشر سنة 2013,,https://www.abjjad.com/book/2200830689/%D8%B1%D9%88%D8%A7%D9%8A%D8%A7%D8%AA-%D8%B4%D8%A7%D8%B1%D9%84%D9%88%D9%83-%D9%87%D9%88%D9%84%D9%85%D8%B2-%D8%A7%D9%84%D9%85%D8%B5%D9%88%D8%B1%D8%A9-%D8%AF%D8%B1%D8%A7%D8%B3%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D9%84%D9%88%D9%86-%D8%A7%D9%84/2201060065/reviews,https://abjjadst.blob.core.windows.net/pub/dd40d8a7-1ddd-46f1-80b4-3c4c2a985652-192X290.jpg
